,id,label
0,31963,0
1,31964,0
2,31965,0
3,31966,0
4,31967,0
5,31968,0
6,31969,0
7,31970,0
8,31971,0
9,31972,0
10,31973,0
11,31974,0
12,31975,0
13,31976,0
14,31977,0
15,31978,0
16,31979,0
17,31980,0
18,31981,0
19,31982,1
20,31983,0
21,31984,0
22,31985,0
23,31986,0
24,31987,0
25,31988,0
26,31989,0
27,31990,0
28,31991,0
29,31992,0
30,31993,0
31,31994,0
32,31995,0
33,31996,1
34,31997,0
35,31998,0
36,31999,0
37,32000,0
38,32001,0
39,32002,0
40,32003,0
41,32004,0
42,32005,1
43,32006,0
44,32007,0
45,32008,0
46,32009,0
47,32010,0
48,32011,0
49,32012,0
50,32013,0
51,32014,0
52,32015,0
53,32016,0
54,32017,0
55,32018,0
56,32019,0
57,32020,0
58,32021,0
59,32022,0
60,32023,0
61,32024,0
62,32025,0
63,32026,0
64,32027,0
65,32028,0
66,32029,0
67,32030,0
68,32031,0
69,32032,0
70,32033,0
71,32034,0
72,32035,0
73,32036,0
74,32037,0
75,32038,0
76,32039,0
77,32040,0
78,32041,0
79,32042,0
80,32043,0
81,32044,0
82,32045,0
83,32046,0
84,32047,0
85,32048,0
86,32049,0
87,32050,0
88,32051,0
89,32052,0
90,32053,0
91,32054,0
92,32055,0
93,32056,0
94,32057,1
95,32058,0
96,32059,0
97,32060,0
98,32061,0
99,32062,0
100,32063,0
101,32064,0
102,32065,0
103,32066,0
104,32067,0
105,32068,0
106,32069,0
107,32070,0
108,32071,0
109,32072,0
110,32073,1
111,32074,0
112,32075,0
113,32076,0
114,32077,0
115,32078,0
116,32079,0
117,32080,0
118,32081,0
119,32082,0
120,32083,0
121,32084,0
122,32085,1
123,32086,0
124,32087,0
125,32088,0
126,32089,0
127,32090,0
128,32091,0
129,32092,0
130,32093,0
131,32094,0
132,32095,0
133,32096,0
134,32097,0
135,32098,0
136,32099,0
137,32100,0
138,32101,0
139,32102,0
140,32103,1
141,32104,1
142,32105,0
143,32106,0
144,32107,0
145,32108,0
146,32109,0
147,32110,0
148,32111,0
149,32112,0
150,32113,0
151,32114,0
152,32115,0
153,32116,0
154,32117,0
155,32118,0
156,32119,0
157,32120,0
158,32121,0
159,32122,1
160,32123,1
161,32124,1
162,32125,0
163,32126,0
164,32127,1
165,32128,0
166,32129,0
167,32130,0
168,32131,0
169,32132,0
170,32133,0
171,32134,0
172,32135,0
173,32136,0
174,32137,0
175,32138,0
176,32139,0
177,32140,0
178,32141,0
179,32142,0
180,32143,0
181,32144,0
182,32145,0
183,32146,0
184,32147,0
185,32148,1
186,32149,0
187,32150,0
188,32151,0
189,32152,0
190,32153,0
191,32154,0
192,32155,0
193,32156,0
194,32157,0
195,32158,0
196,32159,0
197,32160,0
198,32161,0
199,32162,0
200,32163,0
201,32164,0
202,32165,0
203,32166,0
204,32167,0
205,32168,0
206,32169,0
207,32170,0
208,32171,0
209,32172,0
210,32173,0
211,32174,0
212,32175,0
213,32176,0
214,32177,0
215,32178,0
216,32179,0
217,32180,0
218,32181,0
219,32182,0
220,32183,0
221,32184,0
222,32185,0
223,32186,0
224,32187,0
225,32188,0
226,32189,0
227,32190,0
228,32191,0
229,32192,0
230,32193,0
231,32194,0
232,32195,0
233,32196,0
234,32197,0
235,32198,0
236,32199,0
237,32200,0
238,32201,0
239,32202,0
240,32203,0
241,32204,0
242,32205,0
243,32206,0
244,32207,0
245,32208,0
246,32209,0
247,32210,0
248,32211,0
249,32212,0
250,32213,0
251,32214,0
252,32215,0
253,32216,0
254,32217,0
255,32218,0
256,32219,0
257,32220,0
258,32221,0
259,32222,0
260,32223,0
261,32224,1
262,32225,0
263,32226,0
264,32227,0
265,32228,0
266,32229,1
267,32230,0
268,32231,0
269,32232,0
270,32233,0
271,32234,1
272,32235,0
273,32236,0
274,32237,0
275,32238,0
276,32239,0
277,32240,0
278,32241,0
279,32242,0
280,32243,0
281,32244,0
282,32245,0
283,32246,0
284,32247,0
285,32248,0
286,32249,0
287,32250,0
288,32251,0
289,32252,0
290,32253,0
291,32254,0
292,32255,1
293,32256,0
294,32257,0
295,32258,0
296,32259,0
297,32260,0
298,32261,0
299,32262,0
300,32263,0
301,32264,0
302,32265,0
303,32266,0
304,32267,0
305,32268,0
306,32269,0
307,32270,0
308,32271,0
309,32272,1
310,32273,0
311,32274,0
312,32275,1
313,32276,0
314,32277,0
315,32278,0
316,32279,0
317,32280,0
318,32281,0
319,32282,0
320,32283,0
321,32284,0
322,32285,0
323,32286,0
324,32287,0
325,32288,0
326,32289,0
327,32290,0
328,32291,0
329,32292,0
330,32293,0
331,32294,0
332,32295,0
333,32296,0
334,32297,0
335,32298,0
336,32299,0
337,32300,0
338,32301,0
339,32302,0
340,32303,0
341,32304,0
342,32305,0
343,32306,0
344,32307,0
345,32308,0
346,32309,0
347,32310,0
348,32311,0
349,32312,0
350,32313,0
351,32314,1
352,32315,0
353,32316,0
354,32317,0
355,32318,0
356,32319,1
357,32320,0
358,32321,0
359,32322,0
360,32323,0
361,32324,0
362,32325,0
363,32326,0
364,32327,0
365,32328,0
366,32329,0
367,32330,0
368,32331,0
369,32332,0
370,32333,0
371,32334,0
372,32335,0
373,32336,0
374,32337,0
375,32338,0
376,32339,0
377,32340,0
378,32341,0
379,32342,0
380,32343,0
381,32344,0
382,32345,0
383,32346,0
384,32347,0
385,32348,0
386,32349,0
387,32350,0
388,32351,0
389,32352,0
390,32353,0
391,32354,0
392,32355,0
393,32356,1
394,32357,0
395,32358,0
396,32359,0
397,32360,0
398,32361,0
399,32362,0
